2006-01-01,212
2006-01-02,212
2006-01-03,666
2006-01-04,513
2006-01-05,743
2006-01-06,1088
2006-01-07,1071
2006-01-08,652.595030617051
2006-01-09,249
2006-01-10,1187
2006-01-11,2036
2006-01-12,1236
2006-01-13,436
2006-01-14,528
2006-01-15,350.5
2006-01-16,173
2006-01-17,2471
2006-01-18,1777
2006-01-19,395
2006-01-20,444
2006-01-21,643
2006-01-22,1147.19796720763
2006-01-23,1520
2006-01-24,586
2006-01-25,1590
2006-01-26,823
2006-01-27,56
2006-01-28,530
2006-01-29,1655.96175186802
2006-01-30,2475
2006-01-31,2035
2006-02-01,421
2006-02-02,3000
2006-02-03,648
2006-02-04,423
2006-02-05,1469
2006-02-06,2515
2006-02-07,270
2006-02-08,1300
2006-02-09,1180
2006-02-10,1663
2006-02-11,2737
2006-02-12,1391
2006-02-13,45
2006-02-14,384.62962962963
2006-02-15,1015.37037037037
2006-02-16,1355
2006-02-17,1226
2006-02-18,108
2006-02-19,412.893026438765
2006-02-20,992.008275099753
2006-02-21,1342
2006-02-22,1402.08327682688
2006-02-23,1446.32402384611
2006-02-24,1473.65275894229
2006-02-25,1483
2006-02-26,1269
2006-02-27,1055
2006-02-28,1487.70600366636
2006-03-01,1994
2006-03-02,2089
2006-03-03,1112
2006-03-04,1874
2006-03-05,1738.86784587652
2006-03-06,1376
2006-03-07,23
2006-03-08,2650
2006-03-09,1422
2006-03-10,2046
2006-03-11,387
2006-03-12,909.407407407408
2006-03-13,1879.59259259259
2006-03-14,2402
2006-03-15,1260.5
2006-03-16,119
2006-03-17,1140
2006-03-18,1033.7037037037
2006-03-19,836.296296296296
2006-03-20,730
2006-03-21,1574
2006-03-22,785
2006-03-23,3075
2006-03-24,1001
2006-03-25,120
2006-03-26,605
2006-03-27,1090
2006-03-28,1029
2006-03-29,879
2006-03-30,2197
2006-03-31,1010
2006-04-01,2228
2006-04-02,2052.57850609756
2006-04-03,1612
2006-04-04,357
2006-04-05,1248
2006-04-06,1587
2006-04-07,184
2006-04-08,179
2006-04-09,583.348134546365
2006-04-10,1324
2006-04-11,2106
2006-04-12,1959.31251973476
2006-04-13,1727
2006-04-14,1568
2006-04-15,806
2006-04-16,1751.5
2006-04-17,2697
2006-04-18,1923
2006-04-19,2034
2006-04-20,1641
2006-04-21,1351
2006-04-22,265
2006-04-23,765
2006-04-24,1265
2006-04-25,847
2006-04-26,383
2006-04-27,1675
2006-04-28,591
2006-04-29,510
2006-04-30,386.253006614552
2006-05-01,307
2006-05-02,1659
2006-05-03,284
2006-05-04,338.962962962963
2006-05-05,441.037037037037
2006-05-06,496
2006-05-07,299
2006-05-08,102
2006-05-09,1313
2006-05-10,1051
2006-05-11,1091
2006-05-12,1372
2006-05-13,1371
2006-05-14,755.550584605391
2006-05-15,141
2006-05-16,1357
2006-05-17,876
2006-05-18,1045
2006-05-19,1403
2006-05-20,1372
2006-05-21,807.650833622786
2006-05-22,270
2006-05-23,1992
2006-05-24,1312
2006-05-25,1174.14315995949
2006-05-26,1105.65301866778
2006-05-27,988
2006-05-28,491.063920983973
2006-05-29,85
2006-05-30,1119
2006-05-31,0.2
2006-06-01,0.7
2006-06-02,0.3
2006-06-03,1.2
2006-06-04,35.669258811819
2006-06-05,144
2006-06-06,1321
2006-06-07,859
2006-06-08,0.9
2006-06-09,0.6
2006-06-10,0.8
2006-06-11,0.1
2006-06-12,0.2
2006-06-13,0.4
2006-06-14,1.7
2006-06-15,0.2
2006-06-16,0.7
2006-06-17,1.7
2006-06-18,0.2
2006-06-19,224
2006-06-20,0.9
2006-06-21,0.2
2006-06-22,0.9
2006-06-23,1.6
2006-06-24,0.4
2006-06-25,1.3
2006-06-26,2.2
2006-06-27,1.2
2006-06-28,1141
2006-06-29,1.4
2006-06-30,1.7
2006-07-01,0.1
2006-07-02,0.5
2006-07-03,142
2006-07-04,0.8
2006-07-05,768
2006-07-06,0.3
2006-07-07,0.2
2006-07-08,1787
2006-07-09,1106.59864747487
2006-07-10,249
2006-07-11,1.4
2006-07-12,0.4
2006-07-13,0.3
2006-07-14,0.7
2006-07-15,0.3
2006-07-16,0.2
2006-07-17,0.2
2006-07-18,1
2006-07-19,0.4
2006-07-20,0.9
2006-07-21,0.9
2006-07-22,0.6
2006-07-23,1.1
2006-07-24,0.2
2006-07-25,0.3
2006-07-26,699
2006-07-27,0.2
2006-07-28,0.4
2006-07-29,0.3
2006-07-30,0.45
2006-07-31,0.6
2006-08-01,0.432142857142857
2006-08-02,0.2
2006-08-03,0.1
2006-08-04,1217
2006-08-05,0.2
2006-08-06,0.4
2006-08-07,0.2
2006-08-08,0.4
2006-08-09,0.6
2006-08-10,0.1
2006-08-11,621
2006-08-12,0.6
2006-08-13,0.3
2006-08-14,0.2
2006-08-15,0.132692307692308
2006-08-16,0.1
2006-08-17,1272
2006-08-18,2391
2006-08-19,0.1
2006-08-20,0.2
2006-08-21,0.3
2006-08-22,0.4
2006-08-23,0.2
2006-08-24,0.1
2006-08-25,0.1
2006-08-26,0.5
2006-08-27,0.642857142857143
2006-08-28,0.7
2006-08-29,0.6
2006-08-30,0.2
2006-08-31,0.6
2006-09-01,0.1
2006-09-02,0.2
2006-09-03,0.15
2006-09-04,0.1
2006-09-05,0.6
2006-09-06,1.8
2006-09-07,0.1
2006-09-08,643
2006-09-09,966
2006-09-10,550
2006-09-11,134
2006-09-12,1304
2006-09-13,887
2006-09-14,2174
2006-09-15,1030
2006-09-16,596.638689048761
2006-09-17,309.152677857714
2006-09-18,205
2006-09-19,1703
2006-09-20,1007
2006-09-21,1018
2006-09-22,1874
2006-09-23,816
2006-09-24,417.690160421647
2006-09-25,211
2006-09-26,104.290254613764
2006-09-27,29.9229050846597
2006-09-28,2
2006-09-29,3.7
2006-09-30,2
2006-10-01,2
2006-10-02,2
2006-10-03,2
2006-10-04,2
2006-10-05,2
2006-10-06,2
2006-10-07,2
2006-10-08,69.6034187136696
2006-10-09,256.050256141009
2006-10-10,536.795384211513
2006-10-11,887.293674854679
2006-10-12,1283
2006-10-13,1947
2006-10-14,1483.7037037037
2006-10-15,623.296296296296
2006-10-16,160
2006-10-17,1045
2006-10-18,1011
2006-10-19,919.582089552239
2006-10-20,851
2006-10-21,912
2006-10-22,894.217662856786
2006-10-23,844.657547935794
2006-10-24,769
2006-10-25,559
2006-10-26,1017
2006-10-27,1342.9660271079
2006-10-28,1648.08678049639
2006-10-29,1902.72452033093
