2006-01-01,750
2006-01-02,750
2006-01-03,750
2006-01-04,750
2006-01-05,750
2006-01-06,750
2006-01-07,750
2006-01-08,750
2006-01-09,750
2006-01-10,750
2006-01-11,750
2006-01-12,750
2006-01-13,750
2006-01-14,750
2006-01-15,750
2006-01-16,750
2006-01-17,750
2006-01-18,750
2006-01-19,750
2006-01-20,750
2006-01-21,750
2006-01-22,750
2006-01-23,750
2006-01-24,750
2006-01-25,750
2006-01-26,750
2006-01-27,750
2006-01-28,750
2006-01-29,750
2006-01-30,750
2006-01-31,750
2006-02-01,750
2006-02-02,750
2006-02-03,750
2006-02-04,750
2006-02-05,750
2006-02-06,750
2006-02-07,750
2006-02-08,750
2006-02-09,750
2006-02-10,750
2006-02-11,750
2006-02-12,750
2006-02-13,750
2006-02-14,750
2006-02-15,750
2006-02-16,750
2006-02-17,750
2006-02-18,750
2006-02-19,750
2006-02-20,750
2006-02-21,750
2006-02-22,750
2006-02-23,750
2006-02-24,750
2006-02-25,750
2006-02-26,750
2006-02-27,750
2006-02-28,750
2006-03-01,750
2006-03-02,750
2006-03-03,750
2006-03-04,750
2006-03-05,750
2006-03-06,750
2006-03-07,750
2006-03-08,750
2006-03-09,750
2006-03-10,750
2006-03-11,750
2006-03-12,750
2006-03-13,750
2006-03-14,750
2006-03-15,750
2006-03-16,750
2006-03-17,750
2006-03-18,750
2006-03-19,750
2006-03-20,750
2006-03-21,750
2006-03-22,750
2006-03-23,750
2006-03-24,750
2006-03-25,750
2006-03-26,750
2006-03-27,750
2006-03-28,750
2006-03-29,750
2006-03-30,750
2006-03-31,750
2006-04-01,750
2006-04-02,750
2006-04-03,750
2006-04-04,750
2006-04-05,750
2006-04-06,750
2006-04-07,750
2006-04-08,750
2006-04-09,750
2006-04-10,750
2006-04-11,750
2006-04-12,750
2006-04-13,750
2006-04-14,750
2006-04-15,750
2006-04-16,750
2006-04-17,750
2006-04-18,750
2006-04-19,750
2006-04-20,750
2006-04-21,750
2006-04-22,750
2006-04-23,750
2006-04-24,750
2006-04-25,750
2006-04-26,750
2006-04-27,750
2006-04-28,750
2006-04-29,750
2006-04-30,750
2006-05-01,750
2006-05-02,750
2006-05-03,750
2006-05-04,750
2006-05-05,750
2006-05-06,750
2006-05-07,750
2006-05-08,750
2006-05-09,750
2006-05-10,750
2006-05-11,750
2006-05-12,750
2006-05-13,750
2006-05-14,750
2006-05-15,750
2006-05-16,750
2006-05-17,750
2006-05-18,750
2006-05-19,750
2006-05-20,750
2006-05-21,750
2006-05-22,750
2006-05-23,750
2006-05-24,750
2006-05-25,750
2006-05-26,750
2006-05-27,750
2006-05-28,750
2006-05-29,750
2006-05-30,750
2006-05-31,750
2006-06-01,750
2006-06-02,750
2006-06-03,750
2006-06-04,750
2006-06-05,750
2006-06-06,750
2006-06-07,750
2006-06-08,750
2006-06-09,750
2006-06-10,750
2006-06-11,750
2006-06-12,750
2006-06-13,750
2006-06-14,750
2006-06-15,750
2006-06-16,750
2006-06-17,750
2006-06-18,750
2006-06-19,750
2006-06-20,750
2006-06-21,750
2006-06-22,750
2006-06-23,750
2006-06-24,750
2006-06-25,750
2006-06-26,750
2006-06-27,750
2006-06-28,750
2006-06-29,750
2006-06-30,750
2006-07-01,750
2006-07-02,750
2006-07-03,750
2006-07-04,750
2006-07-05,750
2006-07-06,750
2006-07-07,750
2006-07-08,750
2006-07-09,750
2006-07-10,750
2006-07-11,750
2006-07-12,750
2006-07-13,750
2006-07-14,750
2006-07-15,750
2006-07-16,750
2006-07-17,750
2006-07-18,750
2006-07-19,750
2006-07-20,750
2006-07-21,750
2006-07-22,750
2006-07-23,750
2006-07-24,750
2006-07-25,750
2006-07-26,750
2006-07-27,750
2006-07-28,750
2006-07-29,750
2006-07-30,750
2006-07-31,750
2006-08-01,750
2006-08-02,750
2006-08-03,750
2006-08-04,750
2006-08-05,750
2006-08-06,750
2006-08-07,750
2006-08-08,750
2006-08-09,750
2006-08-10,750
2006-08-11,750
2006-08-12,750
2006-08-13,750
2006-08-14,750
2006-08-15,750
2006-08-16,750
2006-08-17,750
2006-08-18,750
2006-08-19,750
2006-08-20,750
2006-08-21,750
2006-08-22,750
2006-08-23,750
2006-08-24,750
2006-08-25,750
2006-08-26,750
2006-08-27,750
2006-08-28,750
2006-08-29,750
2006-08-30,750
2006-08-31,750
2006-09-01,750
2006-09-02,750
2006-09-03,750
2006-09-04,750
2006-09-05,750
2006-09-06,750
2006-09-07,750
2006-09-08,750
2006-09-09,750
2006-09-10,750
2006-09-11,750
2006-09-12,750
2006-09-13,750
2006-09-14,750
2006-09-15,750
2006-09-16,750
2006-09-17,750
2006-09-18,750
2006-09-19,750
2006-09-20,750
2006-09-21,750
2006-09-22,750
2006-09-23,750
2006-09-24,750
2006-09-25,750
2006-09-26,750
2006-09-27,750
2006-09-28,750
2006-09-29,750
2006-09-30,750
2006-10-01,750
2006-10-02,750
2006-10-03,750
2006-10-04,750
2006-10-05,750
2006-10-06,750
2006-10-07,750
2006-10-08,750
2006-10-09,750
2006-10-10,750
2006-10-11,750
2006-10-12,750
2006-10-13,750
2006-10-14,750
2006-10-15,750
2006-10-16,750
2006-10-17,750
2006-10-18,750
2006-10-19,750
2006-10-20,750
2006-10-21,750
2006-10-22,750
2006-10-23,750
2006-10-24,750
2006-10-25,750
2006-10-26,750
2006-10-27,750
2006-10-28,750
2006-10-29,750
2006-10-30,750
2006-10-31,750
2006-11-01,750
2006-11-02,750
2006-11-03,750
2006-11-04,750
2006-11-05,750
2006-11-06,750
2006-11-07,750
2006-11-08,750
2006-11-09,750
2006-11-10,750
2006-11-11,750
2006-11-12,750
2006-11-13,750
2006-11-14,750
2006-11-15,750
2006-11-16,750
2006-11-17,750
2006-11-18,750
2006-11-19,750
2006-11-20,750
2006-11-21,750
2006-11-22,750
2006-11-23,750
2006-11-24,750
2006-11-25,750
2006-11-26,750
2006-11-27,750
2006-11-28,750
2006-11-29,750
2006-11-30,750
2006-12-01,750
2006-12-02,750
2006-12-03,750
2006-12-04,750
2006-12-05,750
2006-12-06,750
2006-12-07,750
2006-12-08,750
2006-12-09,750
2006-12-10,750
2006-12-11,750
2006-12-12,750
2006-12-13,750
2006-12-14,750
2006-12-15,750
2006-12-16,750
2006-12-17,750
2006-12-18,750
2006-12-19,750
2006-12-20,750
2006-12-21,750
2006-12-22,750
2006-12-23,750
2006-12-24,750
2006-12-25,750
2006-12-26,750
2006-12-27,750
2006-12-28,750
2006-12-29,750
2006-12-30,750
2006-12-31,750
2007-01-01,750
2007-01-02,750
2007-01-03,750
2007-01-04,750
2007-01-05,750
2007-01-06,750
2007-01-07,750
2007-01-08,750
2007-01-09,750
2007-01-10,750
2007-01-11,750
2007-01-12,750
2007-01-13,750
2007-01-14,750
2007-01-15,750
2007-01-16,750
2007-01-17,750
2007-01-18,750
2007-01-19,750
2007-01-20,750
2007-01-21,750
2007-01-22,750
2007-01-23,750
2007-01-24,750
2007-01-25,750
2007-01-26,750
2007-01-27,750
2007-01-28,750
2007-01-29,750
2007-01-30,750
2007-01-31,750
2007-02-01,750
2007-02-02,750
2007-02-03,750
2007-02-04,750
2007-02-05,750
2007-02-06,750
2007-02-07,750
2007-02-08,750
2007-02-09,750
2007-02-10,750
2007-02-11,750
2007-02-12,750
2007-02-13,750
2007-02-14,750
2007-02-15,750
2007-02-16,750
2007-02-17,750
2007-02-18,750
2007-02-19,750
2007-02-20,750
